# FCTZS-TRPG public スキーマ列一覧
# 更新日: 2026-07-17
# 出典: 既存 information_schema ダンプをベースに、database-optimization 適用後の
#       junction / 軽量ビュー、および Worker・フロントが参照する列を反映。
# 注意: column_id は旧ダンプ由来のため欠番があり、新規追加列は概算番号の場合がある。
#       本番の正本は下記SQLで再取得し、本ファイルを置き換えること。
#
# --- 再取得用SQL (Supabase SQL Editor) ---
# SELECT
#   c.table_name,
#   c.column_name,
#   c.ordinal_position AS column_id,
#   c.data_type,
#   c.is_nullable
# FROM information_schema.columns AS c
# JOIN information_schema.tables AS t
#   ON t.table_schema = c.table_schema
#  AND t.table_name = c.table_name
# WHERE c.table_schema = 'public'
#   AND t.table_type IN ('BASE TABLE', 'VIEW')
# ORDER BY c.table_name, c.ordinal_position;
# ----------------------------------------

| table_name               | column_name            | column_id | data_type                | is_nullable | kind  | notes |
| player_profiles          | updated_at             | 9         | timestamp with time zone | YES         | table | |
| player_profiles          | desire_avatar          | 10        | integer                  | YES         | table | |
| player_profiles          | desire_story           | 11        | integer                  | YES         | table | |
| player_profiles          | desire_clear           | 12        | integer                  | YES         | table | |
| player_profiles          | desire_chaos           | 13        | integer                  | YES         | table | |
| player_profiles          | desire_active          | 14        | integer                  | YES         | table | |
| player_profiles          | desire_harmony         | 15        | integer                  | YES         | table | |
| player_profiles          | favorite_character_ids | 16        | ARRAY                    | YES         | table | text[] |
| player_profiles          | favorite_scenario_ids  | 17        | ARRAY                    | YES         | table | text[] |
| players                  | player_id              | 1         | text                     | NO          | table | PK |
| players                  | player_name            | 2         | text                     | NO          | table | |
| players                  | discord_id             | 3         | text                     | NO          | table | |
| players                  | created_at             | 4         | timestamp with time zone | YES         | table | |
| players                  | memo                   | 5         | text                     | YES         | table | |
| players                  | user_id                | 6         | uuid                     | YES         | table | Auth紐付け。部分一意indexあり |
| posts                    | id                     | 1         | bigint                   | NO          | table | PK |
| posts                    | created_at             | 2         | timestamp with time zone | NO          | table | |
| posts                    | author                 | 3         | text                     | NO          | table | |
| posts                    | body                   | 5         | text                     | NO          | table | |
| posts                    | user_id                | 6         | uuid                     | NO          | table | |
| posts                    | character_id           | 7         | text                     | YES         | table | |
| recent_comments_with_names | id                   | 1         | uuid                     | YES         | view  | 軽量ビュー |
| recent_comments_with_names | created_at           | 2         | timestamp with time zone | YES         | view  | |
| recent_comments_with_names | target_type          | 3         | text                     | YES         | view  | |
| recent_comments_with_names | target_id            | 4         | text                     | YES         | view  | |
| recent_comments_with_names | author               | 5         | text                     | YES         | view  | |
| recent_comments_with_names | body                 | 6         | text                     | YES         | view  | |
| recent_comments_with_names | target_name          | 7         | text                     | YES         | view  | 対象名称を解決 |
| recruitment_applicants   | recruitment_id         | 1         | text                     | NO          | table | PK複合 |
| recruitment_applicants   | player_id              | 2         | text                     | NO          | table | PK複合 |
| recruitment_applicants   | created_at             | 3         | timestamp with time zone | YES         | table | |
| recruitment_applicants   | user_id                | 4         | uuid                     | YES         | table | |
| recruitment_list         | id                     | 1         | text                     | YES         | view  | 軽量ビュー |
| recruitment_list         | owner_player_id        | 2         | text                     | YES         | view  | |
| recruitment_list         | owner_player_name      | 3         | text                     | YES         | view  | |
| recruitment_list         | scenario_id            | 4         | text                     | YES         | view  | |
| recruitment_list         | scenario_title         | 5         | text                     | YES         | view  | |
| recruitment_list         | scenario_image_url     | 6         | text                     | YES         | view  | |
| recruitment_list         | recruit_role           | 7         | text                     | YES         | view  | |
| recruitment_list         | target_count           | 8         | integer                  | YES         | view  | |
| recruitment_list         | memo                   | 9         | text                     | YES         | view  | |
| recruitment_list         | status                 | 10        | text                     | YES         | view  | |
| recruitment_list         | created_at             | 11        | timestamp with time zone | YES         | view  | |
| recruitment_list         | applicant_count        | 12        | integer                  | YES         | view  | |
| recruitments             | id                     | 1         | text                     | NO          | table | PK |
| recruitments             | owner_player_id        | 2         | text                     | NO          | table | |
| recruitments             | scenario_id            | 3         | text                     | YES         | table | |
| recruitments             | recruit_role           | 4         | text                     | NO          | table | GM/PL |
| recruitments             | target_count           | 5         | integer                  | NO          | table | |
| recruitments             | memo                   | 6         | text                     | YES         | table | |
| recruitments             | status                 | 7         | text                     | NO          | table | |
| recruitments             | created_at             | 8         | timestamp with time zone | YES         | table | |
| recruitments             | updated_at             | 9         | timestamp with time zone | YES         | table | |
| recruitments             | user_id                | 10        | uuid                     | YES         | table | |
| run_characters           | run_id                 | 1         | text                     | NO          | table | junction PK複合 |
| run_characters           | character_id           | 2         | text                     | NO          | table | junction PK複合 |
| run_characters           | sort_order             | 3         | integer                  | NO          | table | 配列順序を保持 |
| run_characters           | user_id                | 4         | uuid                     | YES         | table | DEFAULT auth.uid() |
| run_players              | run_id                 | 1         | text                     | NO          | table | junction PK複合 |
| run_players              | player_id              | 2         | text                     | NO          | table | junction PK複合 |
| run_players              | sort_order             | 3         | integer                  | NO          | table | 配列順序を保持 |
| run_players              | user_id                | 4         | uuid                     | YES         | table | DEFAULT auth.uid() |
| runs                     | id                     | 1         | text                     | NO          | table | PK |
| runs                     | scenario_id            | 2         | text                     | YES         | table | |
| runs                     | title                  | 4         | text                     | YES         | table | |
| runs                     | updated_at             | 11        | timestamp with time zone | NO          | table | |
| runs                     | characters             | 13        | ARRAY                    | YES         | table | text[] 互換期間中の正 |
| runs                     | status                 | 14        | USER-DEFINED             | NO          | table | run status enum |
| runs                     | user_id                | 15        | uuid                     | YES         | table | |
| runs                     | gm_id                  | 16        | text                     | YES         | table | →players.player_id。名称はAPI側で解決 |
| runs                     | player_ids             | 17        | ARRAY                    | YES         | table | text[] 互換期間中の正 |
| runs                     | image_url              | —         | text                     | YES         | table | アプリ参照（存在しない環境ではselectから除外） |
| scenario_list            | id                     | 1         | text                     | YES         | view  | レガシー一覧 |
| scenario_list            | title                  | 2         | text                     | YES         | view  | |
| scenario_list            | system                 | 3         | text                     | YES         | view  | |
| scenario_list            | description            | 4         | text                     | YES         | view  | |
| scenario_list            | notes                  | 5         | text                     | YES         | view  | |
| scenario_list            | updated_at             | 6         | timestamp with time zone | YES         | view  | |
| scenario_list            | author                 | 7         | text                     | YES         | view  | |
| scenario_list            | has_active_run         | 8         | boolean                  | YES         | view  | |
| scenario_list            | next_scheduled_start   | 9         | timestamp with time zone | YES         | view  | |
| scenario_list            | trend_story_chaos      | 10        | text                     | YES         | view  | |
| scenario_list            | trend_avatar_clear     | 11        | text                     | YES         | view  | |
| scenario_list            | trend_harmony_active   | 12        | text                     | YES         | view  | |
| scenario_list            | min_players            | 13        | integer                  | YES         | view  | |
| scenario_list            | max_players            | 14        | integer                  | YES         | view  | |
| scenario_list            | play_time_minutes      | 15        | integer                  | YES         | view  | |
| scenario_list            | lost_rate              | 16        | text                     | YES         | view  | |
| scenario_summary         | id                     | 1         | text                     | YES         | view  | 軽量ビュー |
| scenario_summary         | title                  | 2         | text                     | YES         | view  | |
| scenario_summary         | system                 | 3         | text                     | YES         | view  | |
| scenario_summary         | author                 | 4         | text                     | YES         | view  | |
| scenario_summary         | image_url              | 5         | text                     | YES         | view  | |
| scenario_summary         | updated_at             | 6         | timestamp with time zone | YES         | view  | |
| scenario_summary         | trend_story_chaos      | 7         | text                     | YES         | view  | |
| scenario_summary         | trend_avatar_clear     | 8         | text                     | YES         | view  | |
| scenario_summary         | trend_harmony_active   | 9         | text                     | YES         | view  | |
| scenario_summary         | min_players            | 10        | integer                  | YES         | view  | |
| scenario_summary         | max_players            | 11        | integer                  | YES         | view  | |
| scenario_summary         | play_time_minutes      | 12        | integer                  | YES         | view  | |
| scenario_summary         | lost_rate              | 13        | text                     | YES         | view  | |
| scenario_summary         | run_count              | 14        | integer                  | YES         | view  | |
| scenarios                | id                     | 1         | text                     | NO          | table | PK |
| scenarios                | title                  | 2         | text                     | NO          | table | |
| scenarios                | system                 | 3         | text                     | YES         | table | |
| scenarios                | description            | 7         | text                     | YES         | table | |
| scenarios                | notes                  | 8         | text                     | YES         | table | |
| scenarios                | updated_at             | 10        | timestamp with time zone | NO          | table | |
| scenarios                | author                 | 11        | text                     | YES         | table | |
| scenarios                | user_id                | 12        | uuid                     | YES         | table | |
| scenarios                | trend_story_chaos      | 13        | text                     | YES         | table | |
| scenarios                | trend_avatar_clear     | 14        | text                     | YES         | table | |
| scenarios                | trend_harmony_active   | 15        | text                     | YES         | table | |
| scenarios                | min_players            | 16        | integer                  | YES         | table | |
| scenarios                | max_players            | 17        | integer                  | YES         | table | |
| scenarios                | play_time_minutes      | 18        | integer                  | YES         | table | |
| scenarios                | lost_rate              | 19        | text                     | YES         | table | |
| scenarios                | image_url              | —         | text                     | YES         | table | アプリ参照 |
| session_list             | id                     | 1         | text                     | YES         | view  | レガシー |
| session_list             | run_id                 | 2         | text                     | YES         | view  | |
| session_list             | start                  | 3         | timestamp with time zone | YES         | view  | |
| session_list             | status                 | 4         | USER-DEFINED             | YES         | view  | |
| session_list             | notes                  | 5         | text                     | YES         | view  | |
| session_list             | updated_at             | 6         | timestamp with time zone | YES         | view  | |
| session_list             | title                  | 7         | text                     | YES         | view  | |
| sessions                 | id                     | 1         | text                     | NO          | table | PK |
| sessions                 | run_id                 | 2         | text                     | YES         | table | →runs.id |
| sessions                 | start                  | 3         | timestamp with time zone | YES         | table | |
| sessions                 | title                  | 5         | text                     | YES         | table | |
| sessions                 | notes                  | 9         | text                     | YES         | table | |
| sessions                 | updated_at             | 12        | timestamp with time zone | NO          | table | |
| sessions                 | status                 | 14        | USER-DEFINED             | NO          | table | session status enum |
| sessions                 | replay_url             | 15        | text                     | YES         | table | |
| sessions                 | stream_url             | 16        | text                     | YES         | table | |
| sessions                 | user_id                | 17        | uuid                     | YES         | table | |
| system_attributes        | system                 | 1         | text                     | NO          | table | マスタ |
| system_attributes        | key                    | 2         | text                     | NO          | table | |
| system_attributes        | label                  | 3         | text                     | NO          | table | |
| system_attributes        | kind                   | 4         | text                     | NO          | table | |
| system_attributes        | sort_order             | 5         | integer                  | NO          | table | |
| system_attributes        | note                   | 6         | text                     | YES         | table | |
| system_skill_bases       | system                 | 1         | text                     | NO          | table | マスタ |
| system_skill_bases       | name                   | 2         | text                     | NO          | table | |
| system_skill_bases       | base_value             | 3         | integer                  | NO          | table | |
| system_skill_bases       | sort_order             | 4         | integer                  | NO          | table | |
| system_skill_bases       | updated_at             | 5         | timestamp with time zone | NO          | table | |
| system_skill_bases       | dex_mul                | 6         | numeric                  | YES         | table | |
| system_skill_bases       | dex_div                | 7         | numeric                  | YES         | table | |
| system_skill_bases       | edu_mul                | 8         | numeric                  | YES         | table | |
| system_skill_bases       | edu_div                | 9         | numeric                  | YES         | table | |
| system_skill_bases       | skill_key              | 10        | text                     | YES         | table | |
